phrase,category,confidence,,,
new world order,Global Government,h,,,
newworldorder,Global Government,h,,,
nwo,Global Government,h,,,
illuminati,Global Government,h,,,
global hegemony,Global Government,m,,,
globalhegemony,Global Government,m,,,
masonic,Global Government,m,,,
freemasons,Global Government,m,,,
freemason,Global Government,m,,,
freemasonry,Global Government,m,,,
deep state,Global Government,h,,,
deepstate,Global Government,h,,,
killuminati,Global Government,h,,,
chemtrail,Specific theory,h,,,
chemtrails,Specific theory,h,,,
pizzagate,Pizzagate,h,,,
adrenochrome,Pizzagate,h,,,
flouride,Specific theory,m,,,
reptilians,Repitlians,h,,,
reptilian,Repitlians,h,,,
dracoreptilians,Repitlians,h,,,
area 51,Specific theory,h,,,
cultural marxism,Specific theory,h,,,
cultural marxist,Specific theory,h,,,
culturalmarxism,Specific theory,h,,,
culturalmarxist,Specific theory,h,,,
culture war,Specific theory,h,,,
culturewar,Specific theory,h,,,
indoctrination,Indoctrination,m,,,
indoctrinate,Indoctrination,m,,,
indoctrinating,Indoctrination,m,,,
indoctrinated,Indoctrination,m,,,
brainwash,Indoctrination,m,,,
brainwashing,Indoctrination,m,,,
brainwashed,Indoctrination,m,,,
brainwashes,Indoctrination,m,,,
qanon,Qanon,h,,,
plandemic,Specific theory,h,,,
zionist,Jewish,l,,,
zionism,Jewish,l,,,
zion,Jewish,l,,,
false flags,False flags,h,,,
false flag,False flags,h,,,
falseflags,False flags,h,,,
falseflag,False flags,h,,,
crisis actor,False flags,h,,,
crisis actors,False flags,h,,,
crisisactor,False flags,h,,,
crisisactors,False flags,h,,,
rothschild,Banking,l,,,
rothschilds,Banking,l,,,
rothschildism,Banking,h,,,
rockerfellers,Banking,l,,,
rockerfeller,Banking,l,,,
great replacement,Specific theory,h,,,
greatreplacement,Specific theory,h,,,
satanic,Specific theory,h,,,
satanist,Specific theory,h,,,
flouride,Specific theory,l,,,
depopulation,Specific theory,h,,,
depopulationagenda,Specific theory,h,,,
agenda21,Specific theory,h,,,
agenda 21,Specific theory,h,,,
antivax,Covid,m,,,
antivaxxers,Covid,m,,,
vaccineskill,Covid,m,,,
vaccinelies,Covid,m,,,
vaccineInjured,Covid,m,,,
vaccinescauseautism,Covid,m,,,
vaccinedamage,Covid,m,,,
vaccines kill,Covid,m,,,
opchemtrail,Specific theory,h,,,
opstopchemtrail,Specific theory,h,,,
climate change hoax,Climate,h,,,
climate hoax,Climate,h,,,
climatechangehoax,Climate,h,,,
climatehoax,Climate,h,,,
global warming hoax,Climate,h,,,
globalwarminghoax,Climate,h,,,
global warming fraud,Climate,h,,,
globalwarmingfraud,Climate,h,,,
domexit,Flat earth,h,,,
earthaintnoglobe,Flat earth,h,,,
earthisflat,Flat earth,h,,,
earth is flat,Flat earth,h,,,
fakemoonlanding,Flat earth,h,,,
moonlandinghoax,Flat earth,h,,,
moon landing hoax,Flat earth,h,,,
fake moon landing,Flat earth,h,,,
flat earth,Flat earth,h,,,
flatearth,Flat earth,h,,,
globehead,Flat earth,h,,,
fepe,Flat earth,h,,,
globehoax,Flat earth,h,,,
globe is a lie,Flat earth,h,,,
globeisalie,Flat earth,h,,,
globexit,Flat earth,h,,,
nasa lies,Flat earth,h,,,
nasalies,Flat earth,h,,,
marshoax,Flat earth,h,,,
mars hoax,Flat earth,h,,,
moon hoax,Flat earth,h,,,
moonhoax,Flat earth,h,,,
researchflatearth,Flat earth,h,,,
fakespace,Flat earth,h,,,
pedogate,Pizzagate,h,,,
pizzagateisreal,Pizzagate,h,,,
pedogateisreal,Pizzagate,h,,,
911truth,911,h,,,
911 truth,911,h,,,
911wasaninsidejob,911,h,,,
911insidejob,911,h,,,
bushdid911,911,h,,,
we are q,Qanon,h,,,
q sent me,Qanon,h,,,
weareq,Qanon,h,,,
qsentme,Qanon,h,,,
sethrich,Qanon,h,,,
seth rich,Qanon,h,,,
bodydouble,False flags,m,,,
bodydoubles,False flags,m,,,
body double,False flags,m,,,
doby doubles,False flags,m,,,
pedowood,Qanon,h,,,
mind control,Indoctrination,m,,,
mindcontrol,Indoctrination,m,,,
the great awakening,Qanon,h,,,
thegreatawakening,Qanon,h,,,
great awakening,Qanon,h,,,
greatawakening,Qanon,h,,,
qdrops,Qanon,h,,,
ivermectin,Covid,h,,,
darktolight,Qanon,h,,,
wwg1wga,Qanon,h,,,
digitalsoldier,Qanon,m,,,
trusttheplan,Qanon,m,,,
the great reset,Qanon,m,,,
thegreatreset,Qanon,m,,,
nothingcanstopwhatiscoming,Qanon,m,,,
filmyourhospital,Covid,m,,,